"","Session","Drill","Position","Date","Start.Time","Duration","Day.Code","Participation","Zone","Squad","HR.Training.Effect","Session.RPE","Distance","Distance.Zone.1","Distance.Zone.2","Distance.Zone.3","Distance.Zone.4","Distance.Zone.5","Distance.Zone.6","Max.Speed","Avg.Speed","Max.HR","Avg.HR","HR.Exertion","Time.in.HR.Zone.1","Time.in.HR.Zone.2","Time.in.HR.Zone.3","Time.in.HR.Zone.4","Time.in.HR.Zone.5","Time.in.HR.Zone.6","Speed.Exertion","Sprint.Count","Accelerations.Zone.1","Accelerations.Zone.2","Accelerations.Zone.3","Decelerations.Zone.1","Decelerations.Zone.2","Decelerations.Zone.3","New.Bodyload","Impacts.Zone.1","Impacts.Zone.2","Impacts.Zone.3","Impacts.Zone.4","Impacts.Zone.5","Impacts.Zone.6","Collisions","Running.Series","Running.Imbalance","Running.Imbalance.Standard.Deviation","Running.Symmetry.Footstrikes","Metabolic.Load.Time.Zone.1","Metabolic.Load.Time.Zone.2","Metabolic.Load.Time.Zone.3","Metabolic.Load.Time.Zone.4","Metabolic.Load.Time.Zone.5","Metabolic.Load..relative.","Metabolic.Power.Average","High.Metabolic.Power.Distance","Equivalent.Distance","Metabolic.Load.Distance.Zone.1","Metabolic.Load.Distance.Zone.2","Metabolic.Load.Distance.Zone.3","Metabolic.Load.Distance.Zone.4","Metabolic.Load.Distance.Zone.5","Metabolic.Load..absolute.","Repeat.Sprints","Sprint.Max.Acceleration","Sprint.Total.Distance","Work.Rate.Interval.Count","Work.Rate.Interval.Duration","Work.Rate.Interval.Distance","Name"
"11","2015-07-15","SAQ Finishing","Centre Midfield","2015-07-15 23:06:00","2015-07-15 23:06:00",23.5,"Day 6","Full","SPI IQ Absolutes","First Team",0,0,1579.08,8.32,119.62,108.45,66.13,67.86,354.22,21.74,2.19,92,86.52,0.23,23.21,0.29,0,0,0,0,1753.7,40,37,9,0,31,5,0,83.72,1339,441,115,25,11,4,22,12,2,2.6,182,6,3.1,1.4,0.6,0.1,8.5,6.1,490.7,1840.3,488.2,597.3,322.3,135.7,32.8,529.9,20,0,247.3,2,2,210.41,1
"12","2015-07-15","Free Crosssing + Finishing","Centre Midfield","2015-07-15 23:32:00","2015-07-15 23:32:00",13.25,"Day 6","Full","SPI IQ Absolutes","First Team",0,0,1619.5,11.02,100.47,162.59,70.05,80.3,602.21,22.32,5.79,0,0,0,13.25,0,0,0,0,0,2903.4,40,13,0,0,15,6,1,45.97,1855,308,43,15,6,0,16,10,3.7,5.7,149,5.5,5.2,1,0.2,0,8,10.1,273,1726.1,425,916.8,229.5,42.5,1,497,35,0,528.6,8,8,1243.71,1
"13","2015-07-23","","Centre Midfield","2015-07-23 19:39:00","2015-07-23 19:39:00",100.77,"Day 6","Full","SPI IQ Absolutes","First Team",0,0,6590.92,44.78,1075.85,1583.36,261.02,157.81,565.32,25.99,2.48,185,129.89,225.82,1.68,71.59,12.42,7.26,4.83,2.99,3599.1,68,38,6,0,47,10,3,158.21,3148,1396,225,46,11,2,23,37,2.4,4.7,491,45.2,9.7,4.6,0.7,0.1,31.8,5.3,1514.3,6849,3107.6,1953.9,1233.6,244.2,36.5,1972,37,0,351.8,43,43,4800.94,1
"14","2015-07-23","Combination 2 Touch Running With Ball in 3s - Around Full Pitch","Centre Midfield","2015-07-23 19:51:00","2015-07-23 19:51:00",11.67,"Day 6","Full","SPI IQ Absolutes","First Team",0,0,1393.32,1.47,72.48,453.03,44.47,31,175.23,15.66,5.28,149,132.22,21.62,0,11.39,0.28,0,0,0,996.1,23,1,0,0,4,0,0,28.7,717,303,28,2,0,1,1,15,0.2,4,213,7.4,3.5,0.4,0,0,6.3,9,91.3,1361.5,606.9,694,90.5,0.7,0,392,13,0,125.5,11,11,1277.92,1
"15","2015-07-23","Combination 1 Touch Running With Ball in 3s - Around Full Pitch","Centre Midfield","2015-07-23 20:03:00","2015-07-23 20:03:00",11.33,"Day 6","Full","SPI IQ Absolutes","First Team",0,0,1434.79,2.23,112.86,388.99,35.35,31.65,104.09,17.86,4.97,160,145.35,28.86,0,5.71,5.42,0.2,0,0,698.6,14,4,0,0,6,0,0,34.76,614,371,44,7,3,0,1,8,0.5,4.4,93,7.3,2.6,1.2,0,0,6.6,9.7,299.3,1422.5,574.9,559.1,297,2.3,0,409.6,6,0,79.9,10,10,1167.7,1
"16","2015-07-23","Combination 3s too Cross and Finish 18yrd Box to Goal","Centre Midfield","2015-07-23 20:17:00","2015-07-23 20:17:00",20.5,"Day 6","Full","SPI IQ Absolutes","First Team",0,0,1289.96,15.79,235.79,65.75,28.98,15.23,49.94,25.99,1.4,175,141.46,55.24,0,11.64,3.97,3.22,1.67,0,301.5,5,8,1,0,13,3,1,42.3,561,371,66,14,4,1,6,11,5.2,3.6,149,6.9,1,1.8,0.4,0,6.5,5.3,681.7,1395,365.3,238.4,537.5,141.5,2.8,401.7,1,0,16.3,9,9,903.56,1
"17","2015-07-23","Combination 3s too Cross and Finish Half Way to Goal","Centre Midfield","2015-07-23 20:40:00","2015-07-23 20:40:00",10.83,"Day 6","Full","SPI IQ Absolutes","First Team",0,0,718.56,5.61,142.55,218.42,20.91,13.7,42.2,25.67,2.71,167,141.77,26.88,0,6.94,1.92,1.97,0,0,313,5,9,0,0,6,1,1,15.18,272,131,28,6,1,0,5,2,8.8,1.6,24,5.9,0.7,0.5,0.2,0,3.6,5.5,176.5,766.7,398.5,142,120.7,48.7,7.1,220.8,1,0,22.9,4,4,400.59,1
"18","2015-07-23","11 v 11 2/3 Pitch","Centre Midfield","2015-07-23 20:53:00","2015-07-23 20:53:00",19,"Day 6","Full","SPI IQ Absolutes","First Team",0,0,1055.41,4.42,105.59,233.47,100.93,54.09,187.56,23.76,2.35,185,134.14,63,0.56,10.3,0.43,1.56,3.16,2.99,1115.4,21,15,5,0,17,6,1,31.35,749,206,54,13,2,0,8,1,7.5,0,12,6,1.7,0.8,0.2,0.1,5.4,4.7,259.3,1160.8,498.6,294.5,183.8,48.8,26.7,334.2,16,0,107.2,8,8,911.68,1
"19","2015-07-24","","Centre Midfield","2015-07-24 19:48:00","2015-07-24 19:48:00",94.66,"Day 7","Full","SPI IQ Absolutes","First Team",0,0,6333.49,59.29,960.98,998.09,484.66,255.14,888.51,23.98,2.59,121,120.18,0.24,94.45,0.2,0,0,0,0,5255,123,95,16,0,85,19,6,319.13,3591,1364,378,105,20,7,34,24,10.7,4.9,624,38.9,8.5,5.9,1.6,0.3,33,5.8,1977.4,7107.5,2784,1549,1485.7,414.7,76.9,2046.5,90,0,567,34,34,3758.6,1
"20","2015-07-24","Passing Drill 20 Yards","Centre Midfield","2015-07-24 19:55:00","2015-07-24 19:55:00",12.5,"Day 7","Full","SPI IQ Absolutes","First Team",0,0,967.47,6.5,105.2,90.77,87,65.82,235.29,21.56,3.25,0,0,0,12.5,0,0,0,0,0,1284.1,35,24,2,0,20,0,0,34.91,739,273,68,8,3,1,1,2,1.2,11.7,24,4.8,1.8,0.8,0.3,0,5.3,7,261.9,1136.4,379.6,322.9,165,85.1,11.8,327.2,31,0,151.8,5,5,514.24,1
"21","2015-07-24","Crossing and Finishing 2Att Working 6 times","Centre Midfield","2015-07-24 20:10:00","2015-07-24 20:10:00",10.5,"Day 7","Full","SPI IQ Absolutes","First Team",0,0,662.4,3.07,21.9,47.04,25,17.05,75.23,23.33,1.29,0,0,0,10.5,0,0,0,0,0,387.3,9,18,6,0,12,7,4,35.31,450,177,41,26,6,2,7,1,4.1,0,10,1.8,0.7,0.7,0.5,0.1,3.9,6.1,347.5,831.4,158.5,154.6,177.4,135.7,34.5,239.4,6,0,30.5,4,4,400.62,1
"22","2015-07-24","Running 100-200-300","Centre Midfield","2015-07-24 20:24:00","2015-07-24 20:24:00",11.5,"Day 7","Full","SPI IQ Absolutes","First Team",0,0,1260.63,2.66,39.02,26.61,11.57,12.47,44.18,20.77,1.09,0,0,0,11.5,0,0,0,0,0,232.9,6,12,0,0,6,1,0,46.29,413,398,115,19,1,0,0,20,11.1,3.9,578,1.5,1.3,2.7,0.2,0,6.1,8.8,825.2,1311.6,110.5,323.4,772.1,49.9,3.2,377.7,0,0,18.5,10,10,1224.86,1
"23","2015-07-24","4v2 Transition Game","Centre Midfield","2015-07-24 20:38:00","2015-07-24 20:38:00",11,"Day 7","Full","SPI IQ Absolutes","First Team",0,0,479.26,17.08,158.11,90,67.47,34.05,58.52,15.23,2.37,0,0,0,11,0,0,0,0,0,438.8,6,6,0,0,8,1,0,13.91,426,83,26,8,0,0,0,0,0,0,0,5.2,0.8,0.3,0.1,0,2.7,4.1,62.9,579.8,303.3,106.1,50.9,10,2,166.9,1,0,18,0,0,0,1
"24","2015-07-24","11 v 11 2/3 Pitch","Centre Midfield","2015-07-24 20:53:00","2015-07-24 20:53:00",20,"Day 7","Full","SPI IQ Absolutes","First Team",0,0,2114.75,11.32,202.09,564.16,245.52,107.72,399.18,23.98,5.22,0,0,0,20,0,0,0,0,0,2420.9,54,32,8,0,35,9,2,66.71,1336,344,102,40,9,4,23,1,13.4,0,12,13.7,3.1,1.2,0.5,0.1,10.8,9,418.6,2329.3,1155.1,534.9,276.8,116.4,25.5,670.7,42,0,287.9,15,15,1623.31,1
"25","2015-07-26","","Centre Midfield","2015-07-26 20:22:00","2015-07-26 20:22:00",75.46,"Game","Full","SPI IQ Absolutes","First Team",0,0,5063.4,18.34,471.42,913.83,600.92,322.73,711.64,27.14,2.69,169,135.08,2.3,74.59,0.46,0.13,0.11,0.16,0,4733.5,95,52,15,0,45,22,3,120.23,3696,789,141,38,5,8,23,19,5.2,4,496,27.3,7.6,4,0.9,0.3,25.4,5.6,1415.9,5463.6,2273.8,1365.1,1053.9,267,95,1573.1,69,0,504.9,33,33,4117.73,1
"26","2015-07-26","2nd Half","Centre Midfield","2015-07-26 20:37:00","2015-07-26 20:37:00",32,"Game","Full","SPI IQ Absolutes","First Team",0,0,3556.36,14.55,279.08,767.11,424.13,173.26,604,27.14,5.02,169,162.8,1.82,31.59,0,0.13,0.11,0.16,0,3701.4,76,52,15,0,43,22,3,97.18,2652,553,121,38,5,8,22,8,-1.3,2.7,103,19.3,5.7,2.1,0.9,0.3,18.4,9.6,890.9,3960.8,1650,1007.5,528.9,267,95,1140.4,54,0,414.8,25,25,2905.73,1
"27","2015-07-26","Running","Centre Midfield","2015-07-26 21:27:00","2015-07-26 21:27:00",8.5,"Game","Full","SPI IQ Absolutes","First Team",0,0,1295.32,0.26,44,86.87,176.79,149.47,107.65,18.68,5.84,0,0,0,8.5,0,0,0,0,0,1006.7,19,0,0,0,2,0,0,21.43,1001,227,19,0,0,0,0,11,6.9,2.1,393,4.3,1.9,1.9,0,0,6,11.7,525,1283.2,413.2,357.1,525,0,0,369.5,15,0,90.1,8,8,1244.26,1
"28","2015-07-26","","Centre Midfield","2015-07-26 22:40:00","2015-07-26 22:40:00",13.83,"","Full","SPI IQ Absolutes","First Team",0,0,403.32,15.94,291.64,52.82,27.62,5.34,9.96,9.11,1.75,0,0,0,13.83,0,0,0,0,0,114.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0.2,0,0,0,1.9,2.3,0,414,369.8,27,0,0,0,119.2,0,0,8.7,0,0,0,1
"29","2015-07-26","","Centre Midfield","2015-07-26 22:54:00","2015-07-26 22:54:00",15,"","Full","SPI IQ Absolutes","First Team",0,0,237.55,13.35,187.12,32.76,3.93,0.39,0,7.09,0.95,0,0,0,13.25,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,1.1,1.4,0,241.1,230.7,3.6,0,0,0,69.4,0,0,0,0,0,0,1
"30","2015-07-26","","Centre Midfield","2015-07-26 23:11:00","2015-07-26 23:11:00",12.71,"","Full","SPI IQ Absolutes","First Team",0,0,295,12.44,191.55,58.85,26.9,3.77,1.48,8.82,1.39,0,0,0,12.71,0,0,0,0,0,65.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0.1,0,0,0,1.4,1.9,0,310.5,277.3,15,0,0,0,89.4,0,0,0,0,0,0,1
"31","2015-07-26","","Centre Midfield","2015-07-26 23:26:00","2015-07-26 23:26:00",12.3,"","Full","SPI IQ Absolutes","First Team",0,0,339.21,9.95,172.81,62.51,28.16,11.1,23.85,15.19,1.52,0,0,0,12.23,0,0,0,0,0,195.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0.3,0,0,0,1.6,2.2,2.7,340.9,273.5,57.6,2.7,0,0,98.1,0,0,24,0,0,0,1
"32","2015-07-26","","Centre Midfield","2015-07-26 23:43:00","2015-07-26 23:43:00",11.11,"","Full","SPI IQ Absolutes","First Team",0,0,150.8,9.17,115.56,22.49,3.19,0.39,0,7.2,0.81,0,0,0,11.11,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0.8,1.2,0,166,145.6,3.1,0,0,0,47.8,0,0,0,0,0,0,1
"33","2015-07-26","","Centre Midfield","2015-07-26 23:54:00","2015-07-26 23:54:00",14.8,"","Full","SPI IQ Absolutes","First Team",0,0,423.54,14.63,308.32,79.39,14.49,5.82,0.89,8.14,1.72,0,0,0,13.05,0,0,0,0,0,58.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0.1,0,0,0,1.9,2.4,0,405.3,409.2,12.1,0,0,0,116.7,0,0,0,0,0,0,1
"34","2015-07-27","","Centre Midfield","2015-07-27 19:50:00","2015-07-27 19:50:00",100.85,"Day 1","Full","SPI IQ Absolutes","First Team",0,0,5690.38,82.69,1111.48,1087.92,578.01,359.56,1159.83,26.14,2.75,183,135.4,266.65,0,65.93,9.98,9.91,12.27,2.75,6744.9,148,97,21,0,84,24,4,186.48,5059,994,224,74,14,9,40,4,3.2,5.9,48,44.4,9.1,3.4,1.1,0.3,30.6,5.1,1101.3,6588,3095.3,1458.8,717.9,281.3,102.1,1896.9,107,0,789.5,17,17,1704.01,1
"35","2015-07-27","Passing Drill","Centre Midfield","2015-07-27 20:06:00","2015-07-27 20:06:00",13,"Day 1","Full","SPI IQ Absolutes","First Team",0,0,843.22,10.88,93.93,117.31,91.19,87.13,287.04,17.96,3.36,139,125.57,20.24,0,13,0,0,0,0,1557.5,42,18,1,0,11,1,0,21.98,950,198,18,7,1,0,2,0,0,0,0,5.3,1.9,0.6,0.1,0,4.5,5.8,146.4,976.2,392.6,298.1,117.7,25.1,3.7,281.1,37,0,217,0,0,0,1
"36","2015-07-27","Shooting Drill - Dribble Shoot - Cross","Centre Midfield","2015-07-27 20:23:00","2015-07-27 20:23:00",18.5,"Day 1","Full","SPI IQ Absolutes","First Team",0,0,1426.18,5.03,64.41,193.92,111.36,71.39,397.47,23.4,3.13,178,144.31,54.48,0,9.01,3.85,3.91,1.57,0.16,2000.7,45,29,5,0,26,10,1,56.99,1317,284,76,28,7,3,22,3,4.1,6.5,37,5.5,2.7,1.2,0.4,0.1,7.3,6.6,412.7,1577.2,515.3,496,279.7,117.6,15.4,454.1,34,0,311,9,9,901.93,1
"37","2015-07-27","Possession 5v5 + 1 Floater","Centre Midfield","2015-07-27 20:45:00","2015-07-27 20:45:00",19.25,"Day 1","Full","SPI IQ Absolutes","First Team",0,0,1287.93,24.76,270.99,272.08,198.53,117.49,258.2,18.22,3.69,179,156.1,79.56,0,6.31,3.12,2.3,6.84,0.68,1686.5,36,26,4,0,26,3,0,35.01,1326,193,49,12,1,2,3,0,0,0,0,10.8,2.3,0.8,0.2,0,7,6,192.8,1503.9,763.3,321.1,144.2,40.6,7.9,433,26,0,156.3,3,3,301.04,1
"38","2015-07-27","3 Zones 2/3 Pitch - 4v4 in Zones","Centre Midfield","2015-07-27 21:06:00","2015-07-27 21:06:00",22,"Day 1","Full","SPI IQ Absolutes","First Team",0,0,1427.28,17.11,339.8,343.72,120.04,48.98,158.8,26.14,3.02,183,149.84,79.13,0,10.35,2.66,3.35,3.72,1.92,1042.9,18,20,11,0,17,10,3,54.08,852,222,68,22,4,4,12,1,0.4,0,11,12.3,1.5,0.6,0.3,0.3,7.9,6,308.1,1708.1,862.6,248.7,140,93.6,74.5,491.8,6,0,74.5,5,5,501.05,1
"39","2015-07-28","","Centre Midfield","2015-07-28 19:44:00","2015-07-28 19:44:00",84.59,"Day 2","Full","SPI IQ Absolutes","First Team",0,0,5740.53,45.33,943.35,1163.28,572.67,357.64,952.93,28.08,3.1,188,134.66,211.76,1.4,54.32,9.78,8.81,8.48,1.8,5935.9,114,62,20,0,69,26,2,165.65,4637,898,210,58,13,8,34,7,2.5,3.2,76,39.9,9,3.1,1.2,0.4,29.7,5.9,1221.3,6398.6,2984.5,1516.1,723.3,364.6,133.3,1842.3,71,0,633.2,30,30,3243.71,1
"40","2015-07-28","Handball Shape Practice - Length of pitch","Centre Midfield","2015-07-28 19:53:00","2015-07-28 19:53:00",14.83,"Day 2","Full","SPI IQ Absolutes","First Team",0,0,1164.34,7.13,186.58,158.46,154.49,123.25,317.16,21.02,4.07,158,127.95,25.88,0,12.72,2.01,0.1,0,0,1877.3,37,7,1,0,13,0,1,23.98,1322,153,25,5,1,2,1,2,6,1.3,23,7.2,2.7,0.5,0.1,0,5.7,6.4,153.4,1226.8,577.6,429.8,119.6,26.3,7.5,353.2,27,0,238.7,7,7,701.29,1
"41","2015-07-28","Passing Drill to Cross & Finish","Centre Midfield","2015-07-28 20:12:00","2015-07-28 20:12:00",18.67,"Day 2","Full","SPI IQ Absolutes","First Team",0,0,1258.95,10.4,182.3,319.77,102.69,63.66,185.62,26.35,3.02,161,130.85,35.3,0,14.81,3.13,0.73,0,0,1180.8,21,18,4,0,13,7,0,29.71,884,178,43,18,0,1,9,2,2.1,2.4,20,8.8,1.8,0.7,0.3,0.1,6.7,6,284.4,1436.4,660.3,310.2,153.8,102.2,28.4,413.6,9,0,131.8,3,3,300.74,1
"42","2015-07-28","11 v 11 2/3 Pitch Shape Work","Centre Midfield","2015-07-28 20:35:00","2015-07-28 20:35:00",19.25,"Day 2","Full","SPI IQ Absolutes","First Team",0,0,1745.84,10.1,176.29,325.87,136.88,89.38,261.79,28.08,3.65,176,153.78,73.64,0,4.97,3.7,5.83,4.75,0,1565.6,33,24,7,0,25,13,1,51.1,1292,321,89,25,6,1,11,3,0.3,2.5,33,9.4,2.6,1.2,0.5,0.2,9.3,8,524.3,1993.3,748.7,468.8,302.8,157.4,64.2,573.9,21,0,153.6,12,12,1319.7,1
"43","2015-07-28","11 v 11 2/3 Pitch","Centre Midfield","2015-07-28 20:56:00","2015-07-28 20:56:00",8.33,"Day 2","Full","SPI IQ Absolutes","First Team",0,0,989.32,4.05,79.94,234.67,110.48,51.9,166.1,24.01,5.53,188,165.38,46.76,0,0.86,0.52,1.58,3.57,1.8,1031.4,21,12,8,0,17,6,0,27.91,718,185,36,7,5,2,7,0,0,0,0,5.6,1.4,0.6,0.3,0.1,5.2,10.4,246.8,1121,492.4,247.4,135.4,78.2,33.3,322.8,14,0,101.3,7,7,813.38,1
"44","2015-07-29","","Centre Midfield","2015-07-29 17:54:00","2015-07-29 17:54:00",120.33,"Game","Full","SPI IQ Absolutes","First Team",0,0,8528.57,56.85,1243.95,1552.64,817.98,382.81,1567.39,28.26,3.1,197,137.11,324.28,14.84,51.76,10.59,17.25,17.87,5.55,9551.7,195,107,26,2,134,38,7,195.43,6107,1453,255,53,16,10,40,19,3.4,4.2,249,57.9,13,5.4,1.8,0.6,44.8,6.6,2032.9,9656.2,4170.2,2305.1,1287.7,535.1,210.1,2780.3,159,0,1140.8,50,50,6136.4,1
"45","2015-07-29","1st Half","Centre Midfield","2015-07-29 17:58:00","2015-07-29 17:58:00",46.5,"Game","Full","SPI IQ Absolutes","First Team",0,0,5514.59,21.57,399.86,941.81,537.58,266.45,1211.61,28.26,5.33,186,160.13,214.53,0,9.37,6.88,12.29,12.96,5.01,6696.3,147,75,19,0,100,25,4,131.5,4619,1055,175,38,8,3,26,17,3,4.2,223,26.4,9.7,4.1,1.2,0.4,28.5,10.2,1474.4,6141.9,2290.7,1741.6,974.2,361.9,138.3,1768.4,123,0,908,37,37,4635.07,1
"46","2015-07-29","2nd Half - Sub 2","Centre Midfield","2015-07-29 19:00:00","2015-07-29 19:00:00",17.5,"Game","Full","SPI IQ Absolutes","First Team",0,0,1944.61,7.38,176.82,374.75,183.61,91.52,339.3,26.14,4.84,179,157.43,72.76,0.01,3.63,3.59,4.91,4.89,0.47,2001.3,45,32,7,2,34,13,3,58.76,1442,395,78,14,8,5,13,2,7,0.4,26,10.2,2.8,1.3,0.6,0.2,10.4,9.9,553.7,2237.3,880.6,505.7,311.3,170.7,71.8,644.2,36,0,216.2,13,13,1535.92,1
